id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
101,A2,Tenses,Simple Past (Regular & Irregular),"S + V2 (regular: -ed, irregular: memorized list)",Digunakan untuk aksi yang selesai jelas di masa lalu.,"I visited my grandparents last weekend, and we spent the entire afternoon talking about their childhood memories.","Saya mengunjungi kakek-nenek saya akhir pekan lalu, dan kami menghabiskan sepanjang sore berbicara tentang kenangan masa kecil mereka.",Selalu hafalkan irregular verbs penting.,Kesalahan: 'I go yesterday' → harus 'I went yesterday'.,V2 = bentuk lampau.
102,A2,Tenses,Past Continuous (background action),S + was/were + V-ing,Dipakai untuk menggambarkan aksi yang sedang terjadi ketika aksi lain masuk.,I was preparing dinner when my colleague unexpectedly called to discuss an urgent project issue.,Saya sedang menyiapkan makan malam ketika rekan kerja saya tiba-tiba menelepon untuk membahas masalah proyek yang mendesak.,Cocok digunakan untuk latar belakang cerita.,Kesalahan: Semua verb dijadikan V-ing tanpa memperhatikan aksi utama.,was/were + V-ing = latar belakang.
103,A2,Tenses,Simple Past vs Past Continuous,Past Continuous = aksi latar; Simple Past = aksi yang memotong.,Dua tense ini sering dipakai bersama untuk narasi.,"She was writing her report when the electricity suddenly went out, forcing her to restart everything.","Dia sedang menulis laporannya ketika listrik tiba-tiba padam, memaksanya mengulang semuanya.","Gunakan PC untuk konteks, SP untuk kejadian utama/pendek.",Kesalahan: dua-duanya dibuat V-ing sehingga tidak jelas kejadian utama.,PC + SP = narasi alami.
104,A2,Tenses,Used to (habits in the past),S + used to + V1,Menyatakan kebiasaan atau keadaan masa lalu yang sudah tidak terjadi.,"I used to spend hours reading novels after school, but now I barely have time to finish even one chapter.","Saya dulu menghabiskan waktu berjam-jam membaca novel sepulang sekolah, tetapi sekarang saya hampir tidak punya waktu untuk menyelesaikan satu bab pun.",Gunakan untuk pola lama vs pola sekarang.,Kesalahan: 'I use to' (tanpa d).,Used to = kebiasaan lama.
105,A2,Tenses,Be going to (plans & predictions),S + am/is/are + going to + V1,Untuk rencana yang sudah diputuskan atau prediksi dengan bukti.,"She is going to start a new job next month, and she has already completed all the required documents.","Dia akan mulai pekerjaan baru bulan depan, dan dia sudah menyelesaikan semua dokumen yang dibutuhkan.",Bedakan dengan 'will' (spontan).,Kesalahan: 'She going to...' tanpa 'is'.,Going to = rencana pasti.
106,A2,Tenses,Will (spontaneous decisions),S + will + V1,"Untuk keputusan spontan, janji, dan prediksi umum.",I think the company will announce major policy changes soon based on the recent internal discussions.,Saya rasa perusahaan akan mengumumkan perubahan kebijakan besar segera berdasarkan diskusi internal terbaru.,Gunakan saat keputusan dibuat saat berbicara.,Kesalahan: 'will to go'.,Will = keputusan spontan.
107,A2,Tenses,Present Perfect (experience),S + have/has + V3,Untuk pengalaman hidup tanpa waktu spesifik.,"I have visited several Southeast Asian countries, but Vietnam remains the most memorable one for me.","Saya telah mengunjungi beberapa negara Asia Tenggara, tetapi Vietnam tetap menjadi yang paling berkesan bagi saya.",Tidak boleh ada waktu spesifik.,Kesalahan: 'I have been to Japan last year'.,Have/has + V3 = pengalaman.
108,A2,Tenses,Present Perfect (unfinished time),"Have/has + V3 with time words: today, this week",Waktu masih berlangsung saat berbicara.,"I have completed three major tasks this morning, but I still need to prepare the meeting notes.","Saya telah menyelesaikan tiga tugas besar pagi ini, tetapi saya masih perlu menyiapkan catatan rapat.",Gunakan untuk aktivitas yang masih relevan.,Kesalahan: mencampur past dengan present perfect.,PP = waktu belum selesai.
109,A2,Tenses,Present Perfect Continuous,S + have/has + been + V-ing,Menekankan durasi aksi yang dimulai di masa lalu dan masih berlangsung.,She has been studying for her certification exam for the past three months without taking a single day off.,Dia telah belajar untuk ujian sertifikasinya selama tiga bulan terakhir tanpa libur satu hari pun.,Untuk aksi nonstop + durasi.,Kesalahan: 'has been study'.,Have/has been + V-ing.
110,A2,Tenses,Comparatives (long & irregular forms),"Adj + -er or more + adj; Irregular: better, worse, farther",Digunakan untuk membandingkan dua hal.,"This proposal is more comprehensive than the previous one, especially in the financial projection section.","Proposal ini lebih komprehensif daripada yang sebelumnya, terutama dalam bagian proyeksi keuangan.",Perhatikan irregular comparatives.,Kesalahan: 'more better' (double comparative).,Use -er/more; irregular = special.
111,A2,Tenses,Superlatives,the + -est / the most + adj,Membandingkan lebih dari dua hal.,"Among all the candidates, she presented the most convincing strategy supported by clear data.","Di antara semua kandidat, dia mempresentasikan strategi yang paling meyakinkan dan didukung data jelas.",Selalu gunakan 'the'.,Kesalahan: 'most smart'.,Superlative = the + most/-est.
112,A2,Tenses,Some / Any,Some = positif; Any = negatif/pertanyaan,Menjelaskan jumlah tidak spesifik.,"If you have any suggestions for improving the workflow, please share them during the meeting.","Jika kamu memiliki saran untuk meningkatkan alur kerja, silakan bagikan saat rapat.",Gunakan some untuk tawaran.,Kesalahan: 'I don't have some money'.,Some = positif; any = negatif/pertanyaan.
