id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
201,B1,Tenses,Present Perfect vs Simple Past,"PP = have/has + V3 (waktu tidak spesifik)
SP = V2 (waktu spesifik)",B1 sering membuat kalimat gabungan antara pengalaman dan kejadian spesifik.,"I have lived in Jakarta for five years, but I moved here from Bandung in 2019.","Saya telah tinggal di Jakarta selama lima tahun, tetapi saya pindah dari Bandung pada 2019.",Tanya diri: ada waktu spesifik? Pakai Simple Past.,Salah: 'I have moved here in 2019'.,PP = pengalaman; SP = waktu spesifik.
202,B1,Tenses,Present Perfect for Results,Have/has + V3 → result still connected to now,Digunakan untuk menjelaskan hasil yang penting untuk konteks sekarang.,"They have already finished the report, so we can submit it before the deadline.","Mereka sudah menyelesaikan laporan, jadi kita bisa mengumpulkannya sebelum tenggat.","Perhatikan kata kunci: already, just, yet.",Kesalahan: 'They already finish'.,"PP = aksi selesai, dampak masih terasa."
203,B1,Tenses,Past Perfect (cause in the past),S + had + V3,Untuk menjelaskan aksi yang terjadi lebih dahulu daripada aksi lampau lainnya.,"By the time the meeting started, the team had already reviewed all the necessary documents.","Saat rapat dimulai, tim sudah meninjau semua dokumen yang diperlukan.",Gunakan untuk urutan waktu dan sebab-akibat.,Kesalahan: memakai Simple Past untuk kedua kejadian.,Had + V3 = kejadian lebih dulu.
204,B1,Tenses,Future Continuous,S + will be + V-ing,Untuk aksi yang sedang berlangsung pada waktu tertentu di masa depan.,"This time next week, I will be presenting our new product to the international partners.","Waktu seperti ini minggu depan, saya akan mempresentasikan produk baru kami kepada mitra internasional.",Gunakan untuk jadwal panjang/aksi yang sudah pasti berlangsung.,Kesalahan: 'will working'.,Will be + V-ing = aksi future yang sedang berjalan.
205,B1,Tenses,Future Perfect,S + will have + V3,Menjelaskan aksi yang selesai sebelum waktu tertentu di masa depan.,"By the end of this month, the team will have completed the entire system migration.","Pada akhir bulan ini, tim akan telah menyelesaikan seluruh migrasi sistem.",Gunakan dengan time expressions future.,Kesalahan: salah urutan waktu.,Will have + V3 = selesai sebelum titik future.
206,B1,Conditionals,First Conditional,"If + present, will + V1",Situasi nyata masa depan.,"If we improve the marketing strategy, we will attract more potential clients.","Jika kita meningkatkan strategi marketing, kita akan menarik lebih banyak klien potensial.",Gunakan untuk kondisi realistis.,Kesalahan: menggunakan 'will' dalam dua klausa.,If + present → will + V1.
207,B1,Conditionals,Zero Conditional,"If + present, present","Untuk fakta umum, kebiasaan, dan truth rules.","If you heat water to 100°C, it boils instantly.","Jika kamu memanaskan air hingga 100°C, air akan langsung mendidih.",Dipakai untuk scientific facts.,Kesalahan: memasukkan will.,Fakta umum = present-present.
208,B1,Conditionals,Second Conditional,"If + past, would + V1",Untuk kondisi tidak nyata atau khayalan.,"If I had more free time, I would take advanced data science courses every weekend.","Jika saya punya lebih banyak waktu luang, saya akan mengambil kursus data science lanjutan setiap akhir pekan.",Gunakan untuk kalimat 'seandainya'.,Kesalahan: memakai Simple Present.,If + past → would + V1.
209,B1,Modals,Modal Verbs (Advice & Probability),"should, ought to, might, may, could",Untuk menyatakan saran dan kemungkinan.,You should revise your proposal because the feedback suggests it might not be clear enough.,Kamu sebaiknya merevisi proposal karena umpan balik menunjukkan bahwa itu mungkin belum cukup jelas.,Gunakan modal sesuai tingkat kepastian.,Kesalahan: 'should to revise'.,Modal + V1.
210,B1,Modals,Modal Verbs (Necessity),"must, have to, need to",Membedakan kewajiban internal vs eksternal.,Employees must follow the new safety protocol if they want to continue working in the laboratory.,Karyawan harus mengikuti protokol keselamatan baru jika mereka ingin terus bekerja di laboratorium.,Must = keharusan kuat; have to = aturan luar.,Kesalahan: confusing mustn't vs don’t have to.,Must = wajib; mustn't = dilarang.
211,B1,Relative Clauses,Adjective Clauses (who/which/that),Noun + who/which/that + clause,Digunakan untuk memberi informasi tambahan tentang noun.,The engineers who designed the system are currently working on its second version.,Para insinyur yang merancang sistem itu sedang mengerjakan versi keduanya.,Gunakan who → manusia; which/that → benda.,Kesalahan: memakai who untuk benda.,Relative clause = penjelas noun.
212,B1,Relative Clauses,Non‑defining Relative Clauses,"Noun, who/which…, extra info",Kalimat tambahan yang tidak wajib ada.,"My manager, who has over twenty years of experience, handled the crisis calmly.","Manajer saya, yang memiliki pengalaman lebih dari dua puluh tahun, menangani krisis dengan tenang.",Gunakan koma.,Kesalahan: lupa koma sehingga makna berubah.,Info tambahan = pakai koma.
213,B1,Relative Clauses,Defining vs Non‑defining Clauses,Defining = tanpa koma; Non‑defining = pakai koma,Perbedaan makna sangat signifikan.,"The employees who work in the finance department are attending training.
The employees, who work in the finance department, are attending training.","Karyawan yang bekerja di departemen finance sedang ikut training.
(Kedua makna berbeda)",Perhatikan apakah informasi itu wajib atau tambahan.,Kesalahan: menggunakan koma pada defining.,Defining = vital info; non-defining = tambahan.
