id,level,category,topic,formula,explanation_id,example_en,example_id,tips_id,common_mistakes_id,cheatsheet_line
401,C1,Academic Grammar,Nominalization (advanced academic style),"Convert verbs/adjectives → nouns (analyze→analysis, effective→effectiveness)","Nominalization membuat teks lebih formal, ringkas, dan akademik.",The effectiveness of the newly implemented training program was evident in the significant improvement of employee performance metrics.,Efektivitas program pelatihan yang baru diterapkan terlihat jelas dari peningkatan signifikan metrik kinerja karyawan.,Gunakan di IELTS Writing Task 2 untuk kesan akademik.,Kesalahan: terlalu banyak nominalization → kalimat menjadi berat.,Nominalization = menominalkan verb/adj.
402,C1,Causatives,Causative Structures (have/get something done),S + have/get + object + V3,Untuk menunjukkan bahwa seseorang meminta orang lain melakukan sesuatu.,We had the entire network infrastructure upgraded last month to support the increasing number of remote users.,Kami meminta seluruh infrastruktur jaringan ditingkatkan bulan lalu untuk mendukung peningkatan jumlah pengguna jarak jauh.,Gunakan untuk layanan profesional.,Kesalahan: 'had upgraded' tanpa object + V3.,Have/get + object + V3.
403,C1,Inversion,Advanced Inversion (Had/Should/Were),"Had + S + V3…, Should + S + V1…, Were + S…",Untuk membuat conditional lebih formal.,"Had the research team identified the flaw earlier, the entire system breakdown could have been prevented.","Seandainya tim riset menemukan cacat itu lebih awal, kerusakan total sistem bisa dicegah.",Sangat formal dan akademik.,Kesalahan: inversion tapi masih memakai 'if'.,Inversion = tanpa 'if'.
404,C1,Clauses,Complex Concessive Clauses,Much as / Even if / Whereas,Untuk menunjukkan kontras formal yang lebih bernuansa.,"Much as the proposal seemed promising, the board concluded that its financial risks were too substantial to ignore.","Meskipun proposal tampak menjanjikan, dewan menyimpulkan bahwa risiko finansialnya terlalu besar untuk diabaikan.",Gunakan untuk tone akademik.,Kesalahan: mencampur conjunction informal.,Concessive clause = kontras tingkat tinggi.
405,C1,Academic Grammar,Evaluative Language (Academic stance),"It is essential/crucial/beneficial that…, It is questionable whether…",Untuk mengekspresikan opini secara formal & akademik.,It is crucial that governments adopt long-term strategies rather than temporary measures when addressing climate change.,Sangat penting bagi pemerintah untuk mengadopsi strategi jangka panjang daripada langkah sementara saat menangani perubahan iklim.,Hedging + evaluative language = nilai IELTS tinggi.,Kesalahan: opini terlalu langsung dan informal.,Evaluative = opini formal.
406,C1,Modals,Complex Modals (speculation & deduction),"must have, might have, could have, can’t have",Untuk menilai kejadian masa lalu dengan tingkat kepastian berbeda.,The sudden drop in performance metrics must have resulted from the unexpected server outage earlier this morning.,Penurunan mendadak metrik kinerja pasti diakibatkan oleh gangguan server tak terduga pagi ini.,Gunakan sesuai tingkat keyakinan.,Kesalahan: mixing waktu salah.,Modal + have + V3 = spekulasi lampau.
407,C1,Cohesion,Advanced Cohesion (substitution & referencing),"do so, do it, one/ones, the former/latter",Untuk menghindari repetisi dalam tulisan panjang.,"Several strategies were proposed, but only the latter was considered financially viable.","Beberapa strategi diajukan, tetapi hanya yang terakhir dianggap layak secara finansial.",Gunakan saat menulis esai panjang.,Kesalahan: salah referent sehingga ambigu.,Referencing = menghindari repetisi.
408,C1,Gerunds,Complex Gerund & Infinitive Patterns,Verbs that change meaning: stop to V1 vs stop V-ing,Makna berubah sesuai bentuk.,The manager stopped to review the report means she stopped another activity; stopped reviewing means she stopped the review entirely.,Manager berhenti untuk meninjau laporan (stop aktivitas lain); berhenti meninjau (stop reviewing) artinya berhenti total dari peninjauan.,Perhatikan makna konteksnya.,Kesalahan: salah bentuk menyebabkan makna berbeda.,Stop to V1 ≠ stop V-ing.
409,C1,Phrasal Verbs,Advanced Phrasal Verbs (formal & academic),"phase out, carry out, account for, stem from, adhere to",Phrasal verbs akademik sering wajib dipahami.,The increase in pollution levels mainly stems from rapid industrial expansion in metropolitan areas.,Peningkatan tingkat polusi terutama berasal dari ekspansi industri yang cepat di wilayah metropolitan.,Gunakan dalam writing dan speaking.,Kesalahan: terlalu informal untuk IELTS.,Academic phrasal verbs.
410,C1,Tenses,Future Perfect Continuous,S + will have been + V-ing,Untuk aksi yang terus berlangsung hingga titik waktu future.,"By next July, the development team will have been working on the new AI-driven platform for over eighteen months.","Pada Juli mendatang, tim pengembang akan telah bekerja pada platform berbasis AI selama lebih dari delapan belas bulan.",Memberi kesan teknis & detail.,Kesalahan: mencampur continuous & simple.,Future durasi panjang.
411,C1,Academic Grammar,Stance & Hedging (academic refinement),"may suggest…, appears to…, could indicate…",Untuk menunjukkan kehati-hatian akademik.,The preliminary data appears to indicate that the new treatment could significantly reduce recovery time.,Data awal tampaknya menunjukkan bahwa perawatan baru tersebut dapat secara signifikan mengurangi waktu pemulihan.,Wajib untuk academic writing.,Kesalahan: klaim absolut.,Hedging = mengurangi absolutisme.
412,C1,Syntax,Elliptical Clauses (advanced omission),"While…, Although…, Without + V-ing…, Adjective + though…",Memadatkan teks dengan menghapus bagian berulang.,"Although exhausted, the research team continued analyzing the dataset until late evening.","Meskipun kelelahan, tim riset terus menganalisis dataset hingga malam.",Gunakan setelah nyaman dengan struktur dasar.,Kesalahan: ellipsis berlebihan sehingga kabur.,Ellipsis = pemadatan kalimat.
413,C1,Clauses,"Non-finite Clauses (V-ing, V3, to V)","V-ing clause, V3 clause, to-infinitive clause",Memadatkan struktur tanpa subject eksplisit.,"To address the rising operational costs, the organization implemented several energy-efficient policies.","Untuk mengatasi meningkatnya biaya operasional, organisasi menerapkan beberapa kebijakan hemat energi.",Sangat umum di academic writing.,Kesalahan: subject ambigu.,Non-finite = tanpa subject eksplisit.
414,C1,Adverbs,Adverb Positioning (complex meaning shifts),Adverb di posisi berbeda → makna berubah,Posisi adverb memengaruhi fokus kalimat.,The team almost completed the project means nearly completed; The team completed almost the project is awkward.,‘The team almost completed the project’ berarti hampir selesai; ‘completed almost the project’ terdengar janggal.,Perhatikan posisi adverb.,Kesalahan: meletakkan adverb sembarangan.,Adverb placement matters.
415,C1,Syntax,Advanced Parallelism (semantic balance),Maintain equal structure in long academic lists,Untuk kejelasan & kohesi.,"The new policy aims to increase transparency, ensure regulatory compliance, and promote long-term economic stability.","Kebijakan baru bertujuan meningkatkan transparansi, memastikan kepatuhan regulasi, dan mempromosikan stabilitas ekonomi jangka panjang.",Gunakan pola sama untuk semua item.,Kesalahan: mencampur bentuk noun dan gerund.,Parallel = keselarasan grammar.
416,C1,Cleft Sentences,Fronting for Emphasis,Object/phrase + clause,Memindahkan elemen ke depan untuk penekanan.,What concerns experts the most is the lack of long-term sustainability in the current economic model.,Yang paling membuat para ahli khawatir adalah kurangnya keberlanjutan jangka panjang dalam model ekonomi saat ini.,Digunakan untuk efek dramatis.,Kesalahan: fronting tanpa alasan.,Fronting = fokus dramatis.
417,C1,Comparatives,Advanced Comparison Structures,"far more…, significantly less…, nowhere near…, substantially more…",Untuk membandingkan dalam konteks akademik.,"The revised framework is far more comprehensive than the initial version, especially in terms of ethical guidelines.","Kerangka revisi jauh lebih komprehensif daripada versi awal, terutama dalam hal pedoman etika.",Cocok untuk IELTS Writing.,Kesalahan: mencampur register informal.,Strong comparisons.
418,C1,Noun Phrases,Complex noun phrases,Article + adj + noun + relative clause/prepositional phrase,Noun phrase dapat sangat panjang di tingkat C1.,The newly developed data-processing algorithm with enhanced predictive capabilities significantly improves model performance.,Algoritma pemrosesan data yang baru dikembangkan dengan kemampuan prediktif yang ditingkatkan secara signifikan meningkatkan performa model.,Pahami urutan modifier.,Kesalahan: modifier terlalu banyak tanpa struktur jelas.,Complex noun phrase = academic style.
