id,category,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation_id
2001,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2002,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
2003,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2004,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2005,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
2006,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
2007,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2008,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
2009,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
2010,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
2011,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
2012,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
2013,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
2014,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2015,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
2016,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
2017,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
2018,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
2019,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
2020,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
2021,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
2022,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
