id,category,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation_id
1,Vocabulary,"In the sentence, the word 'alleviate' most nearly means ___.",ease,challenge,postpone,measure,A,ease,'Alleviate' berarti meringankan atau mengurangi beban/masalah.
2,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
3,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
4,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
5,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
6,Conversation,A: Are you coming to the workshop later? B: I ___ if I finish my report on time.,might come,am coming,come,came,A,might come,'Might come' menunjukkan kemungkinan tergantung kondisi.
7,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
8,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
9,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
10,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
11,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
12,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
13,Conversation,"A: Hey, are you joining the study group later? B: I’m not sure. I ___ finish this assignment first.",need to,shouldn't,might not,am,A,need to,'Need to' paling tepat untuk menunjukkan kewajiban menyelesaikan tugas.
14,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
15,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
16,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
17,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
18,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
19,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
20,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
21,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
22,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
23,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
24,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
